Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
urdf_arm,-0.0174875527558622,0.00179910750290237,0.210012561233673,0,0,0,5.14039351525955,0.0499222359614081,-1.45737146282782E-06,0.000941479736923806,0.0373806752216079,-1.04144812553937E-05,0.0330605392668542,0,0,0,0,0,0,package://urdf_arm/meshes/urdf_arm.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://urdf_arm/meshes/urdf_arm.STL,,torso-1,torso,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_arm_pitch,-0.000828036869570527,-0.0221807377225874,0.00145914525498181,0,0,0,0.18413596718146,0.00030820846006233,-3.38787209124798E-05,-4.35868313915032E-07,0.000119962851844466,-2.15026055530379E-06,0.000244415780049331,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_pitch.STL,,l_arm_pitch-1,l_arm_pitch,l_arm_pitch_axis,l_arm_pitch,revolute,-0.0174999999999994,0.2927,0.31039624162447,0,0,0,urdf_arm,0,1,0,0,0,-3.14,1.57,,,,,,,,
l_arm_roll,-0.00791081502583302,-4.96921134152117E-06,-0.0454483133121535,0,0,0,0.207464613400312,0.000457439178313935,-4.58278097382517E-09,1.03161950452115E-05,0.000364197308404399,2.2443394457752E-08,0.00017446951099124,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_roll.STL,,l_arm_roll-1,l_arm_pitch,l_arm_roll_axis,l_arm_roll,revolute,0,0,0,0,0,0,l_arm_pitch,1,0,0,0,0,-0.349,2.09,,,,,,,,
l_arm_yaw,0.00628273945084577,0.0010686695168643,-0.207672767706963,0,0,0,0.481289525596781,0.00105282291023882,-1.06576401996613E-06,9.28124103755373E-05,0.001047234049051,-4.63917811736568E-06,0.000346148131521566,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_arm_yaw.STL,,l_arm_yaw-1,l_arm_pitch,r_arm_yaw,l_arm_yaw,revolute,0,0,0,0,0,0,l_arm_roll,0,0,-1,0,0,-1.518,1.518,,,,,,,,
l_foream,-0.0161081770518705,0.0014341951956906,-0.048559738798195,0,0,0,0.2234980315587,0.000378810354788798,-2.16486964427839E-07,-4.15629996863637E-05,0.000498964424337024,1.25133995027467E-07,0.000202125207411073,0,0,0,0,0,0,package://urdf_arm/meshes/l_foream.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_foream.STL,,l_foream-1,l_foream,l_foream_axis,l_foream,revolute,0.0199999999999956,0,-0.282596241624469,0,0,0,l_arm_yaw,0,-1,0,0,0,0,2.44,,,,,,,,
l_hand_yaw,-0.00207265357096991,0.000180849460126531,-0.0507949618718358,0,0,0,0.17513838759913,0.000227384843308136,2.26341283603265E-07,-2.2459745379831E-06,0.000195922865316427,1.59530474488699E-09,9.47040764933854E-05,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_yaw.STL,,l_hand_yaw-2,l_hand_yaw,l_hand_yaw_axis,l_hand_yaw,revolute,-0.019999999999996,0,-0.127037274261587,0,0,0,l_foream,0,0,1,0,0,-1.518,1.518,,,,,,,,
l_hand_roll,-0.00111109841505431,0.00325853543002191,-0.0133761737277522,0,0,0,0.0840144468109417,2.64319545735977E-05,1.66499416484449E-07,2.31962316274296E-07,4.53647430396972E-05,-1.02153813459502E-06,3.38453744858053E-05,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_roll.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_roll.STL,,l_hand_roll-1,l_hand_roll,l_hand_roll_axis,l_hand_roll,revolute,0.000199999999998968,0,-0.106462725738415,0,0,0,l_hand_yaw,-1,0,0,0,0,-0.698,1.309,,,,,,,,
l_hand_pitch,0.000257404394454982,0.58577225063004,-0.0800032554209467,0,0,0,0.128051594937832,4.95125209088465E-05,2.08655267137498E-09,-1.29921051281919E-09,7.22421194195814E-05,-3.91599991645418E-06,5.8386775532484E-05,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_hand_pitch.STL,,l_hand_pitch-2,r_hand_pitch,l_hand_pitch_axis,l_hand_pitch,revolute,-0.000200000000008405,-0.585399999999991,-0.0209999999999993,0,0,0,l_hand_roll,0,1,0,0,0,-0.698,0.698,,,,,,,,
l_f_bar-1,0.00725281758893256,7.30388859893072E-06,-0.010523758219822,0,0,0,0.00947618050885391,1.97634385843721E-06,-1.3072596586163E-10,7.8157059268262E-07,2.54904752635405E-06,1.77202474550192E-11,1.16562093364549E-06,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-1.STL,,l_f_bar-1-1,l_f_bar-1,l_f_bar-1_axis,l_f_bar-1,continuous,0.0221999996097327,0.58489999999999,-0.1114,0,0,0,l_hand_pitch,0,1,0,,,,,,,,,,,,
l_f_bar-2,-0.00783155600629153,-3.80164700775065E-07,-0.0147534045072511,0,0,0,0.00339831329284512,4.22804474665052E-07,1.27436096288971E-11,-1.77709009390353E-07,4.35205518595516E-07,-1.01728637949474E-11,2.58474450728907E-07,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-2.STL,,l_f_bar-2-1,l_f_bar-2,l_f_bar-2_axis,l_f_bar-2,continuous,0.0254380979411405,0,-0.0464962705293315,0,0,0,l_f_bar-1,0,1,0,,,,,,,,,,,,
l_f_fingers,-0.0155125920713256,-9.1484151782395E-06,-0.0133066901741019,0,0,0,0.00951656272415332,1.19518361504236E-06,4.33295481718608E-11,-2.84796974864247E-07,1.16036448100454E-06,-3.11882018444264E-10,5.65771187200473E-07,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_fingers.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_fingers.STL,,l_f_finger-1,l_f_fingers,l_f_fingers_axis,l_f_fingers,continuous,-0.019154851827186,0,-0.0292932014550809,0,0,0,l_f_bar-2,0,-1,0,,,,,,,,,,,,
l_f_bar-3,-0.00168673806356738,-5.51128129859246E-05,-0.0272295877741271,0,0,0,0.00913147869821001,2.10763814349319E-06,2.09621859330758E-14,-1.59558511684067E-07,1.59797381104174E-06,1.96518105838252E-12,6.74515531056861E-07,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-3.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_f_bar-3.STL,,l_f_bar-3-1,l_f_bar-3,l_f_bar-3_axis,l_f_bar-3,continuous,0.0241578924930401,0.58489999999999,-0.135271672920607,0,0,0,l_hand_pitch,0,1,0,,,,,,,,,,,,
l_b_bar-1,-0.00725281758895095,-7.30388859698783E-06,-0.010523758219822,0,0,0,0.00947618050885384,1.97634385843717E-06,-1.30725965882506E-10,-7.8157059268265E-07,2.54904752635396E-06,-1.77202474771179E-11,1.16562093364544E-06,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_bar-1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_bar-1.STL,,l_b_bar-1-1,l_b_bar-1,l_b_bar-1_axis,l_b_bar-1,continuous,-0.0218000003905871,0.58489999999999,-0.1114,0,0,0,l_hand_pitch,0,-1,0,,,,,,,,,,,,
l_b_bar_2,0.00783155600626179,3.80164702162844E-07,-0.0147534045072508,0,0,0,0.0033983132928451,4.22804474665111E-07,1.27436096356508E-11,1.77709009390309E-07,4.35205518595577E-07,1.01728637895462E-11,2.58474450728914E-07,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_bar_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_bar_2.STL,,l_b_bar-2-1,l_b_bar-2,l_b_bar-2_axis,l_b_bar_2,continuous,-0.0254380979411446,0,-0.0464962705293317,0,0,0,l_b_bar-1,0,-1,0,,,,,,,,,,,,
l_b_fingers,0.0155125920713094,9.14841522009491E-06,-0.0133066901741014,0,0,0,0.00951656272415342,1.19518361496346E-06,4.33295481733529E-11,2.84796974867858E-07,1.16036448092124E-06,3.11882018538181E-10,5.65771187196117E-07,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_fingers.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_fingers.STL,,l_b_finger-1,l_b_fingers,l_b_fingers_axis,l_b_fingers,continuous,0.0191548518271974,0,-0.0292932014550815,0,0,0,l_b_bar_2,0,-1,0,,,,,,,,,,,,
l_b_bar_3,0.00168673806352822,5.51128129873679E-05,-0.0272295877741267,0,0,0,0.00913147869821004,2.10763814349324E-06,2.09621870291139E-14,1.5955851168412E-07,1.59797381104164E-06,-1.96518108460779E-12,6.74515531056739E-07,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_bar_3.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/l_b_bar_3.STL,,l_b_bar-3-1,l_b_bar-3,l_b_bar-3_axis,l_b_bar_3,continuous,-0.0237578932738888,0.584899999999989,-0.135271672920607,0,0,0,l_hand_pitch,0,-1,0,,,,,,,,,,,,
r_arm_pitch,-0.000828070382794768,0.0221803805437029,0.000355413431685492,0,0,0,0.184136359575287,0.000308207241858544,3.38785928990623E-05,-4.35759192373431E-07,0.000119956509845959,2.14753035902003E-06,0.000244420930812077,0,0,0,0,0,0,package://urdf_arm/meshes/r_arm_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_arm_pitch.STL,,r_arm_pitch-1,r_arm_pitch,r_arm_pitch_axis,r_arm_pitch,revolute,-0.0174999999999994,-0.2927,0.3115,0,0,0,urdf_arm,0,-1,0,0,0,-1.57,3.14,,,,,,,,
r_arm_roll,-0.00790852470961278,-4.56417513639007E-06,-0.0465501165062039,0,0,0,0.207468176547282,0.000457462803151501,-1.15198974028459E-08,1.03126038028813E-05,0.000364196501374006,2.07666570522255E-08,0.000174508538142169,0,0,0,0,0,0,package://urdf_arm/meshes/r_arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_arm_roll.STL,,r_arm_roll-2,r_arm_pitch,r_arm_roll_axis,r_arm_roll,revolute,0,0,0,0,0,0,r_arm_pitch,1,0,0,0,0,-2.09,0.349,,,,,,,,
r_arm_yaw,0.00628203079501941,-0.00107183997285254,-0.208777637267102,0,0,0,0.481293484952825,0.00105282558432735,1.05276851232576E-06,9.28171933199159E-05,0.00104723759220182,4.6345481241257E-06,0.000346154688267995,0,0,0,0,0,0,package://urdf_arm/meshes/r_arm_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_arm_yaw.STL,,r_arm_yaw-2,r_arm_pitch,r_arm_yaw,r_arm_yaw,revolute,0,0,0,0,0,0,r_arm_roll,0,0,-1,0,0,-1.518,1.518,,,,,,,,
r_foream,-0.0161078686898049,-0.00142702216013446,-0.0485634479520254,0,0,0,0.223463041894529,0.000378818781706887,2.3190122532932E-07,-4.15645431273828E-05,0.000498968224963291,-1.22001481514792E-07,0.000202123697751054,0,0,0,0,0,0,package://urdf_arm/meshes/r_foream.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_foream.STL,,r_foream-1,r_foream,r_foream_axis,r_foream,revolute,0.0199999999999998,0,-0.2837,0,0,0,r_arm_yaw,0,1,0,0,0,-2.44,0,,,,,,,,
r_hand_yaw,-0.00206628806745379,-0.000180941910907839,-0.0507968280945797,0,0,0,0.17515117163577,0.000227396727945047,-2.24147344266167E-07,-2.24496749295539E-06,0.000195931521293021,-4.92996655381385E-09,9.47062987496784E-05,0,0,0,0,0,0,package://urdf_arm/meshes/r_hand_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_hand_yaw.STL,,r_hand_yaw-2,r_hand_yaw,r_hand_yaw_axis,r_hand_yaw,revolute,-0.0200000000000001,0,-0.127037274261586,0,0,0,r_foream,0,0,-1,0,0,-1.518,1.518,,,,,,,,
r_hand_roll,-0.00111102295591413,-0.00325842912832869,-0.0133762121197154,0,0,0,0.0840150150336956,2.64321656840486E-05,-1.66459675085631E-07,2.32613802973805E-07,4.53653859741049E-05,1.02156140922168E-06,3.38461834268271E-05,0,0,0,0,0,0,package://urdf_arm/meshes/r_hand_roll.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_hand_roll.STL,,r_hand_roll-1,r_hand_roll,r_hand_roll_axis,r_hand_roll,revolute,0,0,-0.106462725738415,0,0,0,r_hand_yaw,-1,0,0,0,0,-1.309,0.698,,,,,,,,
r_hand_pitch,-2.91341173062759E-05,-0.000381425230524535,-0.0798741942840195,0,0,0,0.12862305361007,4.95150346726562E-05,2.08461746311682E-09,1.29900305264038E-09,7.22443466755961E-05,3.91600058100291E-06,5.83907592429026E-05,0,0,0,0,0,0,package://urdf_arm/meshes/r_hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_hand_pitch.STL,,r_hand_pitch-2,r_hand_pitch,r_hand_pitch_axis,r_hand_pitch,revolute,0,0,-0.0209999999999999,0,0,0,r_hand_roll,0,-1,0,0,0,-0.698,0.698,,,,,,,,
r_f_bar-1,0.00725281758894184,7.30388859826459E-06,-0.0105237582198234,0,0,0,0.00947618050885381,1.97634385843711E-06,-1.30725965842154E-10,7.81570592682646E-07,2.54904752635401E-06,1.77202474132729E-11,1.16562093364555E-06,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_bar-1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_bar-1.STL,,r_f_bar-1-1,r_f_bar-1,r_f_bar-1_axis,r_f_bar-1,continuous,0.0220000003906069,0.000499999999990508,-0.111400000000002,0,0,0,r_hand_pitch,0,1,0,,,,,,,,,,,,
r_f_bar-2,-0.00783155600627576,-3.80161749358177E-07,-0.0147534045072527,0,0,0,0.00339831329284509,4.22804474665077E-07,1.2743609623576E-11,-1.77709009390325E-07,4.35205518595521E-07,-1.01728637960533E-11,2.58474450728884E-07,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_bar-2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_bar-2.STL,,r_f_bar-2-1,r_f_bar-2,r_f_bar-2_axis,r_f_bar-2,continuous,0.0254380979411435,0,-0.0464962705293308,0,0,0,r_f_bar-1,0,1,0,,,,,,,,,,,,
r_f_fingers,-0.0155125920713176,0.000290851584825447,-0.0133066901741032,0,0,0,0.00951656272415332,1.19518361497846E-06,4.33295481601776E-11,-2.84796974860625E-07,1.1603644809404E-06,-3.11882018557425E-10,5.65771187200177E-07,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_fingers.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_fingers.STL,,r_f_finger-1,r_f_fingers,r_f_fingers_axis,r_f_fingers,continuous,-0.0191548518271969,0,-0.029293201455082,0,0,0,r_f_bar-2,0,1,0,,,,,,,,,,,,
r_f_bar-3,-0.00168673806354017,-5.51128129872569E-05,-0.0272295877741284,0,0,0,0.00913147869821008,2.10763814349322E-06,2.09621760184303E-14,-1.59558511684128E-07,1.59797381104166E-06,1.96518102682214E-12,6.74515531056765E-07,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_bar-3.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_f_bar-3.STL,,r_f_bar-3-1,r_f_bar-3,r_f_bar-3_axis,r_f_bar-3,continuous,0.0239578932739069,0.000499999999989675,-0.13527167292061,0,0,0,r_hand_pitch,0,1,0,,,,,,,,,,,,
r_b_bar-1,-0.00725281758894075,-7.30388859754294E-06,-0.0105237582198237,0,0,0,0.00947618050885388,1.97634385843727E-06,-1.3072596589287E-10,-7.81570592682577E-07,2.54904752635409E-06,-1.77202475155924E-11,1.16562093364548E-06,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_bar-1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_bar-1.STL,,r_b_bar-1-1,r_b_bar-1,r_b_bar-1_axis,r_b_bar-1,continuous,-0.0219999996097208,0.000499999999990564,-0.111400000000003,0,0,0,r_hand_pitch,0,-1,0,,,,,,,,,,,,
r_b_bar-2,0.00783155600627505,3.80164702273866E-07,-0.0147534045072527,0,0,0,0.00339831329284513,4.22804474665119E-07,1.27436096403349E-11,1.77709009390302E-07,4.35205518595591E-07,1.017286378448E-11,2.5847445072893E-07,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_bar-2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_bar-2.STL,,r_b_bar-2-1,r_b_bar-2,r_b_bar-2_axis,r_b_bar-2,continuous,-0.025438097941145,0,-0.0464962705293318,0,0,0,r_b_bar-1,0,-1,0,,,,,,,,,,,,
r_b_fingers,0.015512592071317,0.000309148415223059,-0.0133066901741017,0,0,0,0.00951656272415284,1.19518361502277E-06,4.3329548194039E-11,2.84796974865924E-07,1.16036448098208E-06,3.11882018368708E-10,5.65771187197506E-07,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_fingers.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_fingers.STL,,r_b_finger-1,r_b_fingers,r_b_fingers_axis,r_b_fingers,continuous,0.0191548518271976,0,-0.0292932014550811,0,0,0,r_b_bar-2,0,1,0,,,,,,,,,,,,
r_b_bar-3,0.00168673806354011,5.51128129861467E-05,-0.0272295877741285,0,0,0,0.00913147869820997,2.10763814349322E-06,2.09621789754513E-14,1.59558511684126E-07,1.5979738110417E-06,-1.96518112490246E-12,6.74515531056802E-07,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_bar-3.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/r_b_bar-3.STL,,r_b_bar-3-1,r_b_bar-3,r_b_bar-3_axis,r_b_bar-3,continuous,-0.0239578924930219,0.000499999999989675,-0.13527167292061,0,0,0,r_hand_pitch,0,-1,0,,,,,,,,,,,,
head_pitch_motor,2.15064692521312E-05,0.0060485397407308,-0.0105235281816768,0,0,0,0.0736988170115525,3.67348067267319E-05,6.73619780094987E-08,-2.37137268464132E-08,4.13511095677461E-05,-7.39465521015481E-06,3.68282513893872E-05,0,0,0,0,0,0,package://urdf_arm/meshes/head_pitch_motor.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/head_pitch_motor.STL,,head_pitch_motor-1,head_pitch_yaw,head_yaw_axis,head_pitch_motor,revolute,-0.0184999999351704,0,0.488400000086134,0,0,0,urdf_arm,0,0,-1,0,0,-1.57,1.57,,,,,,,,
head,0.0270543321696196,-0.000611241791026834,0.108993350171997,0,0,0,0.604629438749788,0.00220911712019339,4.4908476911183E-06,0.000409391213149813,0.00215799979792596,1.35756758490623E-05,0.00193855033637337,0,0,0,0,0,0,package://urdf_arm/meshes/head.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/head.STL,,head-1,head_pitch_yaw,head_roll_axis,head,revolute,0,0,0,0,0,0,head_pitch_motor,0,-1,0,0,0,-0.52,0.52,,,,,,,,
head_camera,-0.00630026061866237,-0.016049154506062,-4.88215811403903E-05,0,0,0,0.0170256015508832,1.0918264029313E-05,-1.05354408167635E-07,-1.05871497323788E-08,8.57178950734429E-07,-1.64018651463633E-08,1.02869893338383E-05,0,0,0,0,0,0,package://urdf_arm/meshes/head_camera.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/head_camera.STL,,camera-head-1,head_camera,Axis_head_camera,head_camera,fixed,0.0974492283101479,0.0174530823583079,0.125581998333391,0,0.488692190558416,0,head,0,0,0,,,,,,,,,,,,
chassis,-0.110380513403178,0.00343228442866415,0.301012831407109,0,0,0,25.7952070329592,0.537052764714304,-0.000287323661197991,7.17473719458976E-05,0.512011387431763,-4.98738216391436E-05,0.532129233554971,0,0,0,0,0,0,package://urdf_arm/meshes/chassis.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/chassis.STL,,chassis-1,all,all_axis,chassis,prismatic,-0.208425065806821,0,-0.454500000000001,0,0,0,urdf_arm,0,0,1,0,0,-0.6,0,,,,,,,,
camera_torso,-0.00629451575980258,-0.0161363809954276,-0.000627399255521022,0,0,0,0.0174035563465764,1.14512648371916E-05,-1.06865323527971E-07,2.15531841453902E-08,1.01358420465748E-06,-9.98083555754382E-09,1.06808111754815E-05,0,0,0,0,0,0,package://urdf_arm/meshes/camera_torso.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_arm/meshes/camera_torso.STL,,camera-torso-1,camera_torso,Axis_camera_torso,camera_torso,fixed,0.115075952675679,0.01749999999949,0.27587244861972,0,0.855211333477246,0,urdf_arm,0,0,0,,,,,,,,,,,,
